utc,host_monotonic_seconds,memory_used_mib,gpu_utilization_pct,compute_process_count,compute_process_memory_mib
2026-09-22T09:03:12.746739+00:00,80102.4080596,0,0,0,0
2026-09-22T09:03:13.746946+00:00,80103.408266406,0,0,0,0
2026-09-22T09:03:14.747227+00:00,80104.408542621,0,0,0,0
2026-09-22T09:03:15.747420+00:00,80105.408740482,0,0,0,0
2026-09-22T09:03:16.747614+00:00,80106.408935886,0,0,0,0
2026-09-22T09:03:17.747803+00:00,80107.40912488,0,0,0,0
2026-09-22T09:03:18.748030+00:00,80108.409350378,0,0,0,0
2026-09-22T09:03:19.748238+00:00,80109.409559359,0,0,0,0
2026-09-22T09:03:20.748432+00:00,80110.409753024,0,0,0,0
2026-09-22T09:03:21.748607+00:00,80111.409928659,0,0,0,0
2026-09-22T09:03:22.748791+00:00,80112.410112377,0,0,0,0
2026-09-22T09:03:23.749024+00:00,80113.410345228,0,0,0,0
2026-09-22T09:03:24.749216+00:00,80114.410536724,0,0,0,0
2026-09-22T09:03:25.749442+00:00,80115.410762677,0,0,0,0
2026-09-22T09:03:26.749627+00:00,80116.410948628,0,0,0,0
2026-09-22T09:03:27.749871+00:00,80117.411190368,0,0,0,0
2026-09-22T09:03:28.750071+00:00,80118.411392036,0,0,0,0
2026-09-22T09:03:29.750294+00:00,80119.411614198,0,0,0,0
2026-09-22T09:03:30.750488+00:00,80120.411809326,0,0,0,0
2026-09-22T09:03:31.750738+00:00,80121.412058046,0,0,0,0
2026-09-22T09:03:32.750970+00:00,80122.412290315,0,0,0,0
2026-09-22T09:03:33.751194+00:00,80123.412515495,0,0,0,0
2026-09-22T09:03:34.751389+00:00,80124.412711386,0,0,0,0
2026-09-22T09:03:35.751568+00:00,80125.412888965,0,0,0,0
2026-09-22T09:03:36.751791+00:00,80126.413110174,0,0,0,0
2026-09-22T09:03:37.751995+00:00,80127.413313469,0,0,0,0
2026-09-22T09:03:38.752192+00:00,80128.413510554,0,0,0,0
2026-09-22T09:03:39.752377+00:00,80129.41369798,0,0,0,0
2026-09-22T09:03:40.752740+00:00,80130.41405679,0,0,0,0
2026-09-22T09:03:41.753032+00:00,80131.414350594,0,0,0,0
2026-09-22T09:03:42.753298+00:00,80132.414613891,0,0,0,0
2026-09-22T09:03:43.753558+00:00,80133.414875078,0,0,0,0
2026-09-22T09:03:44.753822+00:00,80134.415139573,0,0,0,0
2026-09-22T09:03:45.754018+00:00,80135.415337534,0,0,0,0
2026-09-22T09:03:46.754317+00:00,80136.41563297,3,0,1,28.0
2026-09-22T09:03:47.754548+00:00,80137.415865314,559,0,1,550.0
2026-09-22T09:03:48.754824+00:00,80138.416143349,559,0,1,550.0
2026-09-22T09:03:49.755089+00:00,80139.416406721,559,0,1,550.0
2026-09-22T09:03:50.755343+00:00,80140.416659506,559,0,1,550.0
2026-09-22T09:03:51.755567+00:00,80141.416885648,559,0,1,550.0
2026-09-22T09:03:52.755829+00:00,80142.417148255,559,0,1,550.0
2026-09-22T09:03:53.756080+00:00,80143.417397651,559,0,1,550.0
2026-09-22T09:03:54.756264+00:00,80144.417582926,559,0,1,550.0
2026-09-22T09:03:55.756480+00:00,80145.417800628,559,0,1,550.0
2026-09-22T09:03:56.756714+00:00,80146.41799934,559,0,1,550.0
2026-09-22T09:03:57.756869+00:00,80147.418190359,559,0,1,550.0
2026-09-22T09:03:58.757181+00:00,80148.418501431,559,0,1,550.0
2026-09-22T09:03:59.757396+00:00,80149.418715568,559,0,1,550.0
2026-09-22T09:04:00.757617+00:00,80150.418935198,559,0,1,550.0
2026-09-22T09:04:01.757848+00:00,80151.419168403,559,0,1,550.0
2026-09-22T09:04:02.758061+00:00,80152.419381293,559,0,1,550.0
2026-09-22T09:04:03.758265+00:00,80153.419585194,559,0,1,550.0
2026-09-22T09:04:04.758483+00:00,80154.419802452,559,0,1,550.0
2026-09-22T09:04:05.758758+00:00,80155.420077976,559,0,1,550.0
2026-09-22T09:04:06.759075+00:00,80156.420394907,559,0,1,550.0
2026-09-22T09:04:07.759286+00:00,80157.420606572,559,0,1,550.0
2026-09-22T09:04:08.759494+00:00,80158.420814994,559,0,1,550.0
2026-09-22T09:04:09.759745+00:00,80159.421065114,559,0,1,550.0
2026-09-22T09:04:10.759928+00:00,80160.421247572,559,0,1,550.0
